length,url_count,exclamation_count,dollar_count,uppercase_ratio,label
1421,0,0,3,0.034458509142053444,0
797,0,2,0,0.05137844611528822,0
1653,0,2,0,0.05562273276904474,0
1044,0,0,0,0.05837320574162679,0
938,0,2,0,0.04579339723109691,0
661,0,2,0,0.04833836858006042,0
1220,0,2,0,0.04176904176904177,0
1052,0,2,0,0.05128205128205128,0
5874,0,3,0,0.023829787234042554,0
747,0,1,0,0.07085561497326204,0
476,0,1,0,0.07547169811320754,0
933,0,1,0,0.05139186295503212,0
1034,0,0,0,0.04830917874396135,0
1437,0,0,0,0.05354659248956885,0
4484,0,1,0,0.02073578595317726,0
583,0,0,0,0.10102739726027397,0
1118,0,2,0,0.05719392314566577,0
790,0,0,0,0.11125158027812895,0
355,0,2,0,0.09269662921348315,0
472,0,0,0,0.07610993657505286,0
402,0,2,0,0.09429280397022333,0
1398,0,0,0,0.056468906361686916,0
1554,0,1,0,0.059163987138263666,0
882,0,5,0,0.11664779161947905,0
866,0,0,0,0.0784313725490196,0
2373,0,0,0,0.02443133951137321,0
1259,0,0,0,0.06507936507936508,0
307,0,0,0,0.06168831168831169,0
513,0,0,0,0.042801556420233464,0
2827,0,0,0,0.048797736916548796,0
361,0,0,0,0.019337016574585635,0
830,0,0,0,0.05535499398315283,0
298,0,0,0,0.08695652173913043,0
233,0,0,0,0.13675213675213677,0
612,0,1,0,0.053833605220228384,0
859,0,1,0,0.08139534883720931,0
2643,0,0,0,0.042738275340393345,0
1814,0,1,0,0.07603305785123966,0
1431,0,0,0,0.055865921787709494,0
1001,0,0,0,0.04890219560878244,0
518,0,0,0,0.04046242774566474,0
328,0,0,0,0.04559270516717325,0
2173,0,0,0,0.08509659613615456,0
1048,0,0,0,0.05910390848427073,0
844,0,0,0,0.036686390532544376,0
141,0,0,0,0.056338028169014086,0
986,0,0,0,0.06889564336372847,0
1117,0,0,0,0.04114490161001789,0
513,0,0,0,0.08171206225680934,0
4447,0,0,1,0.03035071942446043,0
301,0,0,0,0.08940397350993377,0
1145,0,0,2,0.24520069808027922,0
832,0,0,0,0.05042016806722689,0
683,0,0,0,0.05116959064327485,0
146,0,0,0,0.08163265306122448,0
450,0,2,0,0.10864745011086474,0
1152,0,0,0,0.04336513443191674,0
850,0,0,0,0.04700352526439483,0
1005,0,3,0,0.055666003976143144,0
555,0,0,0,0.048561151079136694,0
2641,0,1,0,0.07342922028766086,0
1339,0,0,0,0.0962686567164179,0
1039,0,0,0,0.08365384615384615,0
4471,0,4,0,0.1381932021466905,0
142,0,0,0,0.0,0
563,0,1,0,0.10638297872340426,0
2275,0,2,0,0.035588752196836555,0
4402,0,0,0,0.019986372927549397,0
1128,0,0,0,0.10097431355181577,0
2323,0,0,0,0.0387263339070568,0
336,0,0,0,0.05637982195845697,0
724,0,0,0,0.027586206896551724,0
938,0,0,0,0.024494142705005325,0
3576,0,1,0,0.04640760413754543,0
322,0,0,0,0.030959752321981424,0
198,0,0,0,0.10552763819095477,0
3838,0,0,2,0.022662151601979683,0
983,0,0,0,0.0508130081300813,0
362,0,1,0,0.03581267217630854,0
556,0,0,0,0.05745062836624776,0
1868,0,2,0,0.04654895666131621,0
274,0,0,0,0.04363636363636364,0
729,0,0,0,0.03287671232876712,0
584,0,0,0,0.07008547008547009,0
1144,0,0,0,0.045414847161572056,0
296,0,0,0,0.12794612794612795,0
4364,0,8,0,0.030927835051546393,0
1097,0,0,0,0.09562841530054644,0
1644,0,0,0,0.034650455927051675,0
976,0,0,0,0.08085977482088025,0
1460,0,0,0,0.10130047912388775,0
493,0,0,0,0.06680161943319839,0
956,0,0,0,0.07210031347962383,0
1356,0,0,0,0.21739130434782608,0
442,0,0,0,0.07900677200902935,0
1598,0,0,0,0.14571607254534083,0
385,0,0,0,0.12176165803108809,0
2469,0,0,0,0.05668016194331984,0
995,0,0,0,0.11646586345381527,0
653,0,0,0,0.045871559633027525,0
1113,0,1,0,0.05026929982046679,0
378,0,0,0,0.14511873350923482,0
1072,0,0,0,0.05871388630009319,0
1241,0,0,0,0.04911433172302738,0
1057,0,0,0,0.046313799621928164,0
642,0,0,0,0.06687402799377916,0
1470,0,0,1,0.04486743711760707,0
866,0,0,0,0.05190311418685121,0
1928,0,0,0,0.058061171591498185,0
596,0,0,0,0.08207705192629816,0
1041,0,0,3,0.04990403071017274,0
1124,0,0,0,0.08088888888888889,0
1523,0,0,0,0.04461942257217848,0
930,0,3,0,0.06766917293233082,0
1239,0,5,0,0.075,0
626,0,2,0,0.08293460925039872,0
1689,0,2,0,0.0485207100591716,0
1187,0,4,0,0.07154882154882154,0
1509,0,2,0,0.04304635761589404,0
742,0,2,0,0.04845222072678331,0
648,0,4,0,0.060092449922958396,0
997,0,12,0,0.05911823647294589,0
