model,accuracy,precision_spam,recall_spam,f1_spam,false_positive_rate,tn,fp,fn,tp,total,confusion_matrix_path
linear_svm,0.9791666666666666,0.9790069976674441,0.9793333333333333,0.9791701383102815,0.021,5874,126,124,5876,12000,reports\figures\linear_svm_confusion_matrix.png
logistic_regression,0.974,0.970393648693351,0.9778333333333333,0.9740992860700647,0.029833333333333333,5821,179,133,5867,12000,reports\figures\logistic_regression_confusion_matrix.png
naive_bayes,0.9634166666666667,0.9773390557939914,0.9488333333333333,0.9628752642706131,0.022,5868,132,307,5693,12000,reports\figures\naive_bayes_confusion_matrix.png
